Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,session,lockdown,additional,enough,depression,need,simply,rebate,area,increase
Topic 2,collective,lockdown,lonely,crisis,second,strain,truly,anger,going,serious
Topic 3,citizen,australian,border,closure,future,minister,people,stare,pushing,despite
Topic 4,session,people,lockdown,psychology,number,fear,limit,medicare-funded,medicare,therapy
Topic 5,extra,please,support,government,available,moment,depression,nurse,family,reunite
