Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,distance,mentally,physically,longer,anxiety,support,apply,fiancee,anyone,month
Topic 2,depression,month,family,jenny,woman,shed,going,resident,wonder,future
Topic 3,depression,economic,breaking,people,heart,think,airline,#loveisnottourism,family,reunite
Topic 4,suffer,social,unemployment,recession,along,impact,economy,pandemic,australia,return
Topic 5,australian,future,border,citizen,despite,pushing,minister,closure,prime,stare
