Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,support,australian,family,resource,pandemic,language,available,violence,domestic,1800respect
Topic 2,australia,anyone,need,mensline,suicide,people,service,community,today,feeling
Topic 3,support,people,anxiety,service,depression,impact,dedicate,funding,covid,research
Topic 4,wellbeing,online,student,people,beyond,headspace,financial,depression,lifeline,support
Topic 5,anxiety,research,leadership,quality,fabulous,international,recognition,people,current,impact
