Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,please,sorry,always,alone,answer,trust,announce,support,victorian,additional
Topic 2,impact,support,coronavirus,tough,covid,service,pandemic,important,extra,wellbeing
Topic 3,contact,people,lifeline,number,australian,helpline,national,immediate,hotline,drug
Topic 4,start,week,supportline,stage,wellbeing,remember,anxiety,place,depression,thinking
Topic 5,service,lifeline,remember,support,feeling,available,beyond,experience,australia,someone
