Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,covid,funding,matter,affect,feeling,australia,change,adjust,track,concern
Topic 2,release,expectation,trial,concern,exception,prevalence,co-occurring,rate,symptom,exactly
Topic 3,clinic,establish,dedicate,greater,regional,across,support,impact,community,service
Topic 4,australian,australia,partner,please,knowing,issue,always,pride,care,travel
Topic 5,level,move,lockdown,south,alcohol,tobacco,august,product,africa,prohibition
