Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,australia,#covid19,education,develop,remember,professional,disability,vital,fight,thanks
Topic 2,issue,australia,need,service,area,work,register,growth,youth,local
Topic 3,priority,need,touch,active,physical,covid,improve,michael,support,great
Topic 4,lockdown,australia,depression,raise,help,difficult,passage,grief,pretty,write
Topic 5,grateful,covid,young,child,people,today,impact,release,engage,issue
