Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,australia,suicide,write,session,medicare,government,calling,extend,professional,fund
Topic 2,people,first,enough,australia,highlight,suicide,month,depression,urgent,prison
Topic 3,support,access,people,victorian,family,tomorrow,depression,clinic,anxiety,dedicate
Topic 4,government,people,issue,something,australia,covid,actually,consider,severely,public
Topic 5,call,aussie,struggle,covid,shock,child,thousand,patient,pressure,victoria
