Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,wearing,give,desire,level,sunglass,anonymity,arrest,horse,everything,cowboy
Topic 2,thing,georgia,wearing,people,distance,social,hand,mask,life,thank
Topic 3,please,everyone,someone,might,remind,science,rocket,wearing,mask,protect
Topic 4,mask,wearing,people,support,state,little,thanks,today,#covid19,life
Topic 5,mask,australian,melbourne,wearing,theatre,candidly,staging,centre,production,challenge
