keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
#covid19,2020-08-11 07:41:42,BitzaWolf,https://twitter.com/BitzaWolf,https://twitter.com/i/web/status/1292939203668398080,"RT @CDCgov: Masks can help prevent the spread of #COVID19 when they are widely used in public. When you wear a mask, you can help protect t…",COVID19,COVID19
#covid19,2020-08-11 09:00:00,hereconomynews,https://twitter.com/hereconomynews,https://twitter.com/i/web/status/1292958908483428352,Keeping safe when outside by wearing a @hereconomynews face mask. Being safe doesn't mean you can't be fashionable 😷💞 https://t.co/tUSNlXFoe6 #WearADamnMask #WearAMask #StayAtHome #COVID19Aus #COVID19Vic #WFH,COVID19Aus,WFH
#covid19,2020-08-10 07:16:37,EmiadeVictoria,https://twitter.com/EmiadeVictoria,https://twitter.com/i/web/status/1292570502553317381,"RT @NCDCgov: As we continue in the fight against #COVID19 this #WorldMaskWeek2020,  ✅#WearAMask in public  ✅Wear your mask properly ✅Practi…",COVID19,WorldMaskWeek2020
#covid19,2020-08-06 08:31:40,Mysidehustlesa1,https://twitter.com/Mysidehustlesa1,https://twitter.com/i/web/status/1291139840562679809,RT @GovernorKayIvey: Thank you to all the businesses that are helping our state to mitigate the spread of #COVID19. Every citizen can do th…,COVID19,COVID19
#covid19,2020-08-07 08:11:31,Holierthantho16,https://twitter.com/Holierthantho16,https://twitter.com/i/web/status/1291497154935025664,"RT @WHO: 😷 Masks during #COVID19: Who should wear them, when and how  #coronavirus  https://t.co/bVnTKUcBfQ",coronavirus,COVID19
#covid19,2020-08-10 06:21:52,healthcoachpin1,https://twitter.com/healthcoachpin1,https://twitter.com/i/web/status/1292556726248460288,RT @WHO: 😷 How to wear a non-medical fabric mask safely: Do’s   More: https://t.co/4odGgqxAKP   #COVID19 #WearAMask https://t.co/hY3DolXCQ1,COVID19,WearAMask
#covid19,2020-08-07 08:17:32,caitlinebowman,https://twitter.com/caitlinebowman,https://twitter.com/i/web/status/1291498672136445952,"Mask wearing, hand washing, and social distancing are three of our best tools to fight #COVID19 until we have a vaccine. Together, they can help us turn the tide of the pandemic. #WearAMask #WorldMaskWeek @PATHtweets @DigitalSQR https://t.co/ZPMfv37Fud",COVID19,WorldMaskWeek
#covid19,2020-08-11 06:31:33,UrbanZimbabwe,https://twitter.com/UrbanZimbabwe,https://twitter.com/i/web/status/1292921551004872704,"Help prevent the spread of Covid-19 by maintaining social distancing, wearing a mask and regularly washing your. Be safe and stay home and we will bring your parcel to your door step. #covid19 #sendinglovehome #urbanfoods https://t.co/ZXMWLOIaJo",covid19,urbanfoods
support,2020-08-07 15:30:49,Tanya68053815,https://twitter.com/Tanya68053815,https://twitter.com/i/web/status/1291607711130324992,RT @AustralianMade: Where to buy Australian-made face masks https://t.co/Eg4POMPZ9q via @EthicalClothing #supportlocal https://t.co/uqkQ0K1…,supportlocal,supportlocal
support,2020-08-07 21:44:51,aestheticmgt,https://twitter.com/aestheticmgt,https://twitter.com/i/web/status/1291701836081180674,RT @AustralianMade: Where to buy Australian-made face masks https://t.co/Eg4POMPZ9q via @EthicalClothing #supportlocal https://t.co/uqkQ0K1…,supportlocal,supportlocal
support,2020-08-07 13:37:11,Franchising247,https://twitter.com/Franchising247,https://twitter.com/i/web/status/1291579113296322560,RT @AustralianMade: Where to buy Australian-made face masks https://t.co/Eg4POMPZ9q via @EthicalClothing #supportlocal https://t.co/uqkQ0K1…,supportlocal,supportlocal
support,2020-08-10 07:05:56,TusStarOne,https://twitter.com/TusStarOne,https://twitter.com/i/web/status/1292567814054780934,"RT @OregonGovBrown: Data shows that wearing a mask slows the spread of COVID-19, so keep wearing your masks when you support your favorite…",,
support,2020-08-09 08:33:57,aussie_super,https://twitter.com/aussie_super,https://twitter.com/i/web/status/1292227578871156736,Check out Washable Unisex Adult Face Cloth Mask Mouth Masks Protective Reusable  https://t.co/EbIHdlUO3n ⁦@eBay⁩   Support Australia to fight #COVID__19 by wearing a #mask #MaskUpMelbourne #COVID19Vic,COVID19Vic,MaskUpMelbourne
support,2020-08-11 08:34:11,MargaretHollin1,https://twitter.com/MargaretHollin1,https://twitter.com/i/web/status/1292952411015847936,"RT @GetReady: When we all wear masks, we are showing our communities that we are all in this together. At APHA, we are proud to support #Wo…",,
support,2020-08-11 08:32:06,deniseshrivell,https://twitter.com/deniseshrivell,https://twitter.com/i/web/status/1292951886224453632,"Exactly. We’d still have to ‘manage’ it - quarantine some OS travellers, wash hands, stay home when sick, wear masks when out etc etc - but could be a #covid free bubble - all that’s lacking now is political will - &amp; a dominating media supporting this strategy  #auspol https://t.co/YhUzbyENGL",auspol,covid
support,2020-08-09 07:45:58,MichaelColl5,https://twitter.com/MichaelColl5,https://twitter.com/i/web/status/1292215503088279552,"@JennyMikakos Thank you  Minister for all your hard work in this pandemic. I admire and support you by doing what we need to do. Stay home, wear a mask, #COVID19Vic #IStandWithJEN",COVID19Vic,IStandWithJEN
support,2020-08-07 13:25:32,FionaLakeAus,https://twitter.com/FionaLakeAus,https://twitter.com/i/web/status/1291576181091835905,RT @AustralianMade: Where to buy Australian-made face masks https://t.co/Eg4POMPZ9q via @EthicalClothing #supportlocal https://t.co/uqkQ0K1…,supportlocal,supportlocal
support,2020-08-07 17:27:49,AustBusinessNet,https://twitter.com/AustBusinessNet,https://twitter.com/i/web/status/1291637152384610305,RT @AustralianMade: Where to buy Australian-made face masks https://t.co/Eg4POMPZ9q via @EthicalClothing #supportlocal https://t.co/uqkQ0K1…,supportlocal,supportlocal
