keyword,counts
skateboard,277
earthquakes,248
endured,248
recorded,246
#hotones',240
cameo,240
californians,229
vigilant,229
riding,209
covering;,195
hands;,195
deeply,195
baby,185
favorite,179
#covidsafe,179
happy,173
arrive,170
dealerships,170
safeguarding,170
mandate—our,161
method,161
backed,161
australian-designed,161
76-year-old,161
laugh,161
thro,161
rebe,161
kc,161
hotspot,161
friend,158
girl,155
weeks,154
energy,154
🇺🇸,154
temperature,151
recent,149
special,149
greenlake,139
wading,139
pool,139
alway,139
ago,138
appointment,136
max,134
nasa-grade,134
promise,134
waving,134
shouting,134
harming,134
video,133
ensure,132
aware,124
safely,124
article,124
watch,123
moral,114
wildfires,114
sanitise,113
checked,113
ride,113
portrait,110
louise,110
fletcher,110
🔥🔥🔥,110
supplying,110
⚫️,110
helps,104
place,103
keeping,101
combat,101
healthy,100
announcement,94
5pm,92
visit,92
proudly,90
considered,89
legal,89
practice,88
end,83
beautiful,83
print,82
celebrate,82
2/,82
peacefully,82
challenge,82
window,82
measures,82
best,74
wonderful,73
mother,73
tesco,73
helping,73
keeps,72
hygiene,72
safe,69
reference,69
animosity,69
mid,69
arab,69
reg,69
