Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,mask,people,refuse,going,wearing,medium,feeling,absolutely,#auspol,message
Topic 2,national,round,impact,portland,munition,videographer,geographic,jennings,wearing,mask
Topic 3,mask,people,wearing,pandemic,make,better,worse,science,transmission,evidence
Topic 4,mask,wearing,people,mandatory,family,melbourne,covid,test,become,starting
Topic 5,mask,refuse,staff,woman,bunnings,individual,medium,growing,australian,unbelievable
