Topic,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Topic 1,wearing,covid,coronavirus,hello,prepare,mask,people,herman,please,morning
Topic 2,people,wearing,mask,worker,refuse,white,death,retail,tell,australian
Topic 3,wearing,mask,refuse,distance,social,working,flight,covid,melbourne,delta
Topic 4,mask,wearing,right,people,really,nurse,complain,national,portland,public
Topic 5,mask,wearing,people,conservative,please,distance,carry,virus,prote,today
